v1,v2
ham,Hey are we meeting today?
spam,Win a free lottery now click here
ham,Please send me the notes
spam,Congratulations you have won cash prize
ham,Let's have lunch tomorrow
spam,Limited time offer buy now
ham,Can you call me later?
spam,URGENT your account is compromised verify now
ham,Don't forget the assignment submission
spam,You are selected for a free vacation
ham,Good morning have a nice day
spam,Claim your reward now click the link
ham,See you in class today
spam,You have won 1000 dollars
ham,Can we reschedule the meeting?
spam,Exclusive offer just for you buy now
ham,Happy birthday have a great day
spam,Free entry in lottery win big prizes
ham,Send me the homework when done
spam,Act now limited time deal
